text ,label (Class)
there are green healthy leaves on leaves,Apple___healthy
the plant is showing green healthy leaves,Apple___healthy
visible signs are green healthy leaves,Apple___healthy
plant has green healthy leaves,Apple___healthy
the plant is showing green healthy leaves,Apple___healthy
there are green healthy leaves on leaves,Apple___healthy
i see no visible disease,Apple___healthy
the plant is showing no visible disease,Apple___healthy
plant has no visible disease,Apple___healthy
leaves show no visible disease,Apple___healthy
leaves show no visible disease,Apple___healthy
visible signs are no visible disease,Apple___healthy
plant has no visible disease,Apple___healthy
leaves show no visible disease,Apple___healthy
visible signs are no visible disease,Apple___healthy
leaves show no visible disease,Apple___healthy
plant has no visible disease,Apple___healthy
plant has no visible disease,Apple___healthy
the plant is showing no visible disease,Apple___healthy
visible signs are no visible disease,Apple___healthy
visible signs are no visible disease,Apple___healthy
leaves show normal plant growth,Apple___healthy
visible signs are normal plant growth,Apple___healthy
there are normal plant growth on leaves,Apple___healthy
there are normal plant growth on leaves,Apple___healthy
visible signs are normal plant growth,Apple___healthy
symptoms include normal plant growth,Apple___healthy
i see normal plant growth,Apple___healthy
leaves show normal plant growth,Apple___healthy
plant has normal plant growth,Apple___healthy
visible signs are normal plant growth,Apple___healthy
visible signs are normal plant growth,Apple___healthy
leaves show normal plant growth,Apple___healthy
plant has normal plant growth,Apple___healthy
visible signs are normal plant growth,Apple___healthy
plant has normal plant growth,Apple___healthy
there are green leaves on leaves,Blueberry___healthy
there are green leaves on leaves,Blueberry___healthy
there are green leaves on leaves,Blueberry___healthy
the plant is showing green leaves,Blueberry___healthy
the plant is showing green leaves,Blueberry___healthy
symptoms include green leaves,Blueberry___healthy
plant has green leaves,Blueberry___healthy
visible signs are green leaves,Blueberry___healthy
leaves show green leaves,Blueberry___healthy
symptoms include green leaves,Blueberry___healthy
plant has green leaves,Blueberry___healthy
i see green leaves,Blueberry___healthy
visible signs are green leaves,Blueberry___healthy
leaves show green leaves,Blueberry___healthy
plant has green leaves,Blueberry___healthy
symptoms include healthy plant,Blueberry___healthy
there are healthy plant on leaves,Blueberry___healthy
plant has healthy plant,Blueberry___healthy
leaves show healthy plant,Blueberry___healthy
the plant is showing healthy plant,Blueberry___healthy
there are healthy plant on leaves,Blueberry___healthy
the plant is showing healthy plant,Blueberry___healthy
leaves show healthy plant,Blueberry___healthy
i see healthy plant,Blueberry___healthy
i see healthy plant,Blueberry___healthy
there are healthy plant on leaves,Blueberry___healthy
i see healthy plant,Blueberry___healthy
the plant is showing healthy plant,Blueberry___healthy
plant has healthy plant,Blueberry___healthy
there are healthy plant on leaves,Blueberry___healthy
there are no symptoms on leaves,Blueberry___healthy
visible signs are no symptoms,Blueberry___healthy
i see no symptoms,Blueberry___healthy
i see no symptoms,Blueberry___healthy
the plant is showing no symptoms,Blueberry___healthy
plant has no symptoms,Blueberry___healthy
i see no symptoms,Blueberry___healthy
leaves show no symptoms,Blueberry___healthy
the plant is showing no symptoms,Blueberry___healthy
the plant is showing no symptoms,Blueberry___healthy
visible signs are no symptoms,Blueberry___healthy
plant has no symptoms,Blueberry___healthy
plant has no symptoms,Blueberry___healthy
the plant is showing no symptoms,Blueberry___healthy
i see no symptoms,Blueberry___healthy
plant has healthy leaves,Cherry_(including_sour)___healthy
leaves show healthy leaves,Cherry_(including_sour)___healthy
there are healthy leaves on leaves,Cherry_(including_sour)___healthy
plant has healthy leaves,Cherry_(including_sour)___healthy
i see healthy leaves,Cherry_(including_sour)___healthy
the plant is showing healthy leaves,Cherry_(including_sour)___healthy
there are healthy leaves on leaves,Cherry_(including_sour)___healthy
the plant is showing healthy leaves,Cherry_(including_sour)___healthy
leaves show healthy leaves,Cherry_(including_sour)___healthy
leaves show healthy leaves,Cherry_(including_sour)___healthy
the plant is showing healthy leaves,Cherry_(including_sour)___healthy
there are healthy leaves on leaves,Cherry_(including_sour)___healthy
there are healthy leaves on leaves,Cherry_(including_sour)___healthy
i see healthy leaves,Cherry_(including_sour)___healthy
the plant is showing healthy leaves,Cherry_(including_sour)___healthy
symptoms include green foliage,Cherry_(including_sour)___healthy
visible signs are green foliage,Cherry_(including_sour)___healthy
the plant is showing green foliage,Cherry_(including_sour)___healthy
leaves show green foliage,Cherry_(including_sour)___healthy
i see green foliage,Cherry_(including_sour)___healthy
the plant is showing green foliage,Cherry_(including_sour)___healthy
visible signs are green foliage,Cherry_(including_sour)___healthy
i see green foliage,Cherry_(including_sour)___healthy
the plant is showing green foliage,Cherry_(including_sour)___healthy
i see green foliage,Cherry_(including_sour)___healthy
leaves show green foliage,Cherry_(including_sour)___healthy
i see green foliage,Cherry_(including_sour)___healthy
visible signs are green foliage,Cherry_(including_sour)___healthy
visible signs are green foliage,Cherry_(including_sour)___healthy
there are green foliage on leaves,Cherry_(including_sour)___healthy
leaves show no signs of disease,Cherry_(including_sour)___healthy
i see no signs of disease,Cherry_(including_sour)___healthy
plant has no signs of disease,Cherry_(including_sour)___healthy
i see no signs of disease,Cherry_(including_sour)___healthy
the plant is showing no signs of disease,Cherry_(including_sour)___healthy
i see no signs of disease,Cherry_(including_sour)___healthy
plant has no signs of disease,Cherry_(including_sour)___healthy
the plant is showing no signs of disease,Cherry_(including_sour)___healthy
visible signs are no signs of disease,Cherry_(including_sour)___healthy
the plant is showing no signs of disease,Cherry_(including_sour)___healthy
leaves show no signs of disease,Cherry_(including_sour)___healthy
the plant is showing no signs of disease,Cherry_(including_sour)___healthy
visible signs are no signs of disease,Cherry_(including_sour)___healthy
there are no signs of disease on leaves,Cherry_(including_sour)___healthy
there are no signs of disease on leaves,Cherry_(including_sour)___healthy
i see white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
leaves show white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
i see white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
leaves show white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
plant has white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
the plant is showing white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
the plant is showing white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
plant has white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
leaves show white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
i see white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
symptoms include white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
leaves show white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
i see white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
symptoms include white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
symptoms include white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
symptoms include fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
the plant is showing fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
plant has fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
plant has fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
plant has fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
i see fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
the plant is showing fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
the plant is showing fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
i see fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
plant has fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
i see fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
the plant is showing fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
symptoms include fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
i see fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
i see fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
leaves show leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
plant has leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
symptoms include leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
visible signs are leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
symptoms include leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
visible signs are leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
plant has leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
the plant is showing leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
symptoms include leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
symptoms include leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
symptoms include leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
symptoms include leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
there are leaves appear dusty white on leaves,Cherry_(including_sour)___Powdery_mildew
the plant is showing leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
leaves show leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
there are gray rectangular lesions on leaves on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
leaves show gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
i see gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
there are gray rectangular lesions on leaves on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
leaves show gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
i see gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
there are gray rectangular lesions on leaves on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
symptoms include gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
the plant is showing gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
i see gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
visible signs are gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
symptoms include gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
leaves show long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
i see long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
i see long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
visible signs are long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
there are long narrow leaf spots on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
i see long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
symptoms include long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
symptoms include long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
the plant is showing long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
visible signs are long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
symptoms include long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
symptoms include long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
visible signs are long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
i see leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
visible signs are leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
the plant is showing leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
the plant is showing leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
the plant is showing leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
i see leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
the plant is showing leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
leaves show leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
the plant is showing leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
visible signs are leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
i see leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
there are leaf tissue turning gray on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
leaves show reddish brown pustules on leaves,Corn_(maize)___Common_rust_
symptoms include reddish brown pustules on leaves,Corn_(maize)___Common_rust_
leaves show reddish brown pustules on leaves,Corn_(maize)___Common_rust_
visible signs are reddish brown pustules on leaves,Corn_(maize)___Common_rust_
plant has reddish brown pustules on leaves,Corn_(maize)___Common_rust_
there are reddish brown pustules on leaves on leaves,Corn_(maize)___Common_rust_
i see reddish brown pustules on leaves,Corn_(maize)___Common_rust_
the plant is showing reddish brown pustules on leaves,Corn_(maize)___Common_rust_
visible signs are reddish brown pustules on leaves,Corn_(maize)___Common_rust_
the plant is showing reddish brown pustules on leaves,Corn_(maize)___Common_rust_
there are reddish brown pustules on leaves on leaves,Corn_(maize)___Common_rust_
visible signs are reddish brown pustules on leaves,Corn_(maize)___Common_rust_
i see reddish brown pustules on leaves,Corn_(maize)___Common_rust_
leaves show reddish brown pustules on leaves,Corn_(maize)___Common_rust_
i see reddish brown pustules on leaves,Corn_(maize)___Common_rust_
plant has small rust spots,Corn_(maize)___Common_rust_
leaves show small rust spots,Corn_(maize)___Common_rust_
leaves show small rust spots,Corn_(maize)___Common_rust_
plant has small rust spots,Corn_(maize)___Common_rust_
leaves show small rust spots,Corn_(maize)___Common_rust_
i see small rust spots,Corn_(maize)___Common_rust_
i see small rust spots,Corn_(maize)___Common_rust_
leaves show small rust spots,Corn_(maize)___Common_rust_
there are small rust spots on leaves,Corn_(maize)___Common_rust_
visible signs are small rust spots,Corn_(maize)___Common_rust_
plant has small rust spots,Corn_(maize)___Common_rust_
visible signs are small rust spots,Corn_(maize)___Common_rust_
the plant is showing small rust spots,Corn_(maize)___Common_rust_
visible signs are small rust spots,Corn_(maize)___Common_rust_
there are small rust spots on leaves,Corn_(maize)___Common_rust_
leaves show powdery spores on leaf surface,Corn_(maize)___Common_rust_
i see powdery spores on leaf surface,Corn_(maize)___Common_rust_
leaves show powdery spores on leaf surface,Corn_(maize)___Common_rust_
symptoms include powdery spores on leaf surface,Corn_(maize)___Common_rust_
i see powdery spores on leaf surface,Corn_(maize)___Common_rust_
i see powdery spores on leaf surface,Corn_(maize)___Common_rust_
plant has powdery spores on leaf surface,Corn_(maize)___Common_rust_
there are powdery spores on leaf surface on leaves,Corn_(maize)___Common_rust_
the plant is showing powdery spores on leaf surface,Corn_(maize)___Common_rust_
leaves show powdery spores on leaf surface,Corn_(maize)___Common_rust_
visible signs are powdery spores on leaf surface,Corn_(maize)___Common_rust_
there are powdery spores on leaf surface on leaves,Corn_(maize)___Common_rust_
i see powdery spores on leaf surface,Corn_(maize)___Common_rust_
there are powdery spores on leaf surface on leaves,Corn_(maize)___Common_rust_
leaves show powdery spores on leaf surface,Corn_(maize)___Common_rust_
visible signs are long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
there are long cigar shaped lesions on leaves,Corn_(maize)___Northern_Leaf_Blight
plant has long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
symptoms include long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
symptoms include long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
plant has long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
i see long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
plant has long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
symptoms include long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
leaves show long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
visible signs are long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
plant has long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
the plant is showing long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
the plant is showing long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
i see long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
leaves show gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
plant has gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
plant has gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
there are gray green leaf spots on leaves,Corn_(maize)___Northern_Leaf_Blight
symptoms include gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
plant has gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
visible signs are gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
there are gray green leaf spots on leaves,Corn_(maize)___Northern_Leaf_Blight
symptoms include gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
the plant is showing gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
plant has gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
plant has gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
leaves show gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
visible signs are gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
visible signs are gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
plant has leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
leaves show leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
there are leaf blight symptoms on leaves,Corn_(maize)___Northern_Leaf_Blight
leaves show leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
there are leaf blight symptoms on leaves,Corn_(maize)___Northern_Leaf_Blight
the plant is showing leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
there are leaf blight symptoms on leaves,Corn_(maize)___Northern_Leaf_Blight
leaves show leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
leaves show leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
visible signs are leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
plant has leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
i see leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
there are leaf blight symptoms on leaves,Corn_(maize)___Northern_Leaf_Blight
visible signs are leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
symptoms include leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
plant has green leaves,Corn_(maize)___healthy
i see green leaves,Corn_(maize)___healthy
leaves show green leaves,Corn_(maize)___healthy
symptoms include green leaves,Corn_(maize)___healthy
the plant is showing green leaves,Corn_(maize)___healthy
the plant is showing green leaves,Corn_(maize)___healthy
plant has green leaves,Corn_(maize)___healthy
symptoms include green leaves,Corn_(maize)___healthy
visible signs are green leaves,Corn_(maize)___healthy
i see green leaves,Corn_(maize)___healthy
the plant is showing green leaves,Corn_(maize)___healthy
visible signs are green leaves,Corn_(maize)___healthy
the plant is showing green leaves,Corn_(maize)___healthy
i see green leaves,Corn_(maize)___healthy
there are green leaves on leaves,Corn_(maize)___healthy
leaves show no disease symptoms,Corn_(maize)___healthy
visible signs are no disease symptoms,Corn_(maize)___healthy
there are no disease symptoms on leaves,Corn_(maize)___healthy
i see no disease symptoms,Corn_(maize)___healthy
plant has no disease symptoms,Corn_(maize)___healthy
plant has no disease symptoms,Corn_(maize)___healthy
